Motors scraped off: http://www.motocalc.com/data/motor.html,,,
Motors scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,kV(kV),No_Load_Current(A),Resistance(Ohm),Weight(g)
Exceed (Nitroplanes) Alpha 480 1020KV,1020.0,1.1,0.06,111
Exceed (Nitroplanes) Alpha 480 910KV,910.0,0.85,0.08,111
Exceed (Nitroplanes) Monster Power 25,870.0,2.4,0.03,176
Exceed Helium 2220-3700,4175.0,3.7,0.046,78
Exceed Monster 60,400.0,2.7,0.06,420
Exceed MonsterPro 32,770.0,2.4,0.02,210
Exceed Optima 2220-2700,2800.0,1.85,0.069,76
Exceed RC Alpha 400 (63M17),920.0,0.7,0.1,60
Exceed RC Helium 2210 - 3800kv,3800.0,1.5,0.033,48
Exceed RC Monster Power 60,400.0,2.7,0.06,420
Exceed RC Rocket 2210-1820kv,1820.0,1.0,0.067,50
Exceed RC Rocket 2212-1820kv,1820.0,1.0,0.067,50
Exceed Rocket 2205-1500,1510.0,0.35,0.463,33
Exceed Rocket 2215-3400,3195.0,2.45,0.052,63
Exceed Rocket 3010-1820,1820.0,1.8,0.064,91
Extron 2208/20 #4000,1840.0,1.0,0.058,46
Extron 2208/26 #4001,1460.0,0.8,0.112,46
Extron 2208/34 #4002,1130.0,0.6,0.198,46
Extron 2212/12 #4003,2050.0,1.9,0.0316,66
Extron 2212/20 #4004,1300.0,1.1,0.0727,66
Extron 2212/26 #4005,1000.0,0.7,0.1484,66
Extron 2217/12 #4006,1520.0,2.0,0.0358,77
Extron 2217/16 #4007,1140.0,1.3,0.0622,77
Extron 2217/20 #4008,920.0,0.7,0.0936,77
Extron 2220/12 #4009,1270.0,1.7,0.0407,86
Extron 2220/16 #4010,980.0,1.3,0.0712,86
Extron 2220/20 #4011,780.0,1.0,0.1029,86
Extron 2808/16 #4012,1680.0,2.4,0.032,86
Extron 2808/20 #4013,1360.0,1.7,0.052,86
Extron 2808/24 #4014,1150.0,1.4,0.0686,86
Extron 2814/12 #4015,1300.0,2.8,0.0283,117
Extron 2814/16 #4016,990.0,2.7,0.0432,117
Extron 2814/20 #4017,800.0,1.8,0.0695,117
Extron 2820/10 #4018,1100.0,3.5,0.0263,145
Extron 2820/12 #4019,910.0,2.9,0.031,145
Extron 2820/14 #4020,790.0,2.5,0.0446,145
Extron 2826/08 #4021,1070.0,3.9,0.02,176
Extron 2826/10 #4022,860.0,2.8,0.0298,176
Extron 2826/12 #4023,720.0,2.4,0.0367,176
Falcon FK-180SH-2854,3535.0,0.08,0.985,32
Feigao 120 4100Kv,4100.0,0.3,0.59,18
Feigao 120 5300Kv,5300.0,0.5,0.37,18
Feigao 120 5800Kv,5800.0,0.6,0.32,18
Feigao 120 8430S 5200Kv,5200.0,0.2,1.0,11
Feigao 1208425:5800KV (5900KV),5866.0,0.6,0.316,18
Feigao 1208428:5300KV,5322.0,0.5,0.37,18
Feigao 1208436 (Brushless forTiger Moth),6000.0,0.2,0.06,18
Feigao 1208436:4100KV,4122.0,0.3,0.585,18
Feigao 1208436L 36 Turn,4122.0,0.1,0.585,18
Feigao 120L 30S [1208430S],5250.0,0.2,1.0,11
Feigao 120L 36T [1208436L],4122.0,0.3,0.585,18
Feigao 130L 16T (1308416L),3625.0,0.7,0.0687,61
Feigao 130L 25T (1308425L),2320.0,0.4,0.1678,61
Feigao 130S 30T (1308430S),3120.0,0.4,0.1971,50
Feigao 5408407S,5070.0,6.0,0.0046,226
Feigao 540L 12T (5408412L),2048.0,2.0,0.0172,284
Feigao BL20-15L,3867.0,0.9,0.0604,60
Fiegao 1208436,4100.0,0.2,0.6,18
FlyWare 350/10/10.5w,1770.0,2.2,0.0078,120
FlyWare 350/10/12.5w,1550.0,2.2,0.0107,120
FlyWare 350/20/15.5w,680.0,2.8,0.0266,196
Flyware MAX 650-6,920.0,1.939,0.076,0
Flyware MAX 650-Heli 12,2057.0,1.869,0.08,0
Flyware MAX650-F5,1320.0,600.0,12.0,210
Flyware MiniRex 320-1000,1154.0,0.6,0.185,63
Flyware MiniRex 320-1250,1449.0,0.8,0.147,63
Flyware MiniRex 320-1600,1974.0,1.3,0.067,63
Flyware MiniRex 320-2200,2484.0,1.6,0.047,63
Flyware MiniRex 330-1250,1277.0,1.4,0.075,91
Flyware MiniRex 330-2800,2679.0,3.6,0.028,91
Flyware MiniRex 330-900,926.0,1.0,0.131,91
Flyware MiniRex 340-1100,1154.0,1.8,0.045,134
Flyware MiniRex 340-1400,1470.0,2.2,0.031,134
Flyware MiniRex 340-1800,2484.0,3.3,0.025,134
Flyware MiniRex 340-800,862.0,1.2,0.085,134
Flyware MiniRex 340L-1000,1000.0,2.8,0.032,162
Flyware MiniRex 340L-800,800.0,2.1,0.04,162
Flyware Rex 220/1300,1300.0,0.437,0.254,32
FMS GC2827-KV4100 (ba),4210.0,1.6,0.065,57
Freewing F90140,1250.0,1.7,0.122,230
FSD FC3536-8T,960.0,0.7,0.0475,97
Global Super Cobalt 27T (speed 400),3165.0,5.89,0.143,100
GP- RimFire,1000.0,0.65,0.235,40
GPMG5105- AMMO 12-30-3850KV,3850.0,0.2,2.46,18
GPMG5105-AMMO 12-30-3850KV,3850.0,0.2,2.46,18
GPMG5110- AMMO 12-30-4110KV,4110.0,0.3,2.46,18
GPMG5115- AMMO 20-30-2650KV,2650.0,0.4,1.1,46
GPMG5120- AMMO 20-30-3500KV,3500.0,0.6,0.73,46
GPMG5125- AMMO 20-30-4300KV,4300.0,0.8,0.68,46
GPMG5130- AMMO 20-30-5200KV,5200.0,1.2,0.65,46
GPMG5135- AMMO 20-40-2080KV,2080.0,0.5,0.97,66
GPMG5140- AMMO 20-40-3500KV,3500.0,1.0,0.44,66
GPMG5145- AMMO 20-40-4850KV,4850.0,1.7,0.36,66
GPMG5150- AMMO 24-33-2500KV,2500.0,0.8,0.73,69
GPMG5155- AMMO 24-33-3180KV,3180.0,1.0,0.55,69
GPMG5160- AMMO 24-33-3500KV,3500.0,1.0,0.44,69
GPMG5165- AMMO 24-33-4040KV,4040.0,1.1,0.39,69
GPMG5170- AMMO 24-33-4875KV,4875.0,1.7,0.36,69
GPMG5175- AMMO 24-45-2350KV,2350.0,0.8,0.49,103
GPMG5180- AMMO 24-45-2900KV,2900.0,1.1,0.36,103
GPMG5185- AMMO 24-45-3790KV,3790.0,1.7,0.22,103
GPMG5190- AMMO 28-35-2200KV,2200.0,0.7,0.73,94
GPMG5195- AMMO 28-35-2700KV,2700.0,0.8,0.61,94
GPMG5200- AMMO 28-35-3900KV,3900.0,1.8,0.24,94
GPMG5205- AMMO 28-35-5100KV,5100.0,2.9,0.22,94
GPMG5210- AMMO 28-45-2100KV,2100.0,0.9,0.36,131
GPMG5215- AMMO 28-45-2700KV,2700.0,1.5,0.37,131
GPMG5220- AMMO 28-45-3600KV,3600.0,2.3,0.21,131
GPMG5225- AMMO 28-56-1530KV,1530.0,0.8,0.4,168
GPMG5230- AMMO 28-56-2300KV,2300.0,1.4,0.26,168
GPMG5235- AMMO 28-56-3200KV,3200.0,2.7,0.19,168
GPMG5240- AMMO 36-30-3200KV,3200.0,2.7,0.19,168
GPS C-2826-B,1650.0,1.56,0.224,46
GPS C-2826-C,1120.0,0.75,0.328,46
GPS C-2830-B,1200.0,1.11,0.21,57
GPS C-3530-C,1140.0,0.95,0.224,73
Graupner 600 Neodym Turbo #6315 (cat),1625.0,2.5,0.11,241
Graupner Compact 330 7.2 #6518,1116.0,1.5,0.069,77
Graupner EVO one 50 7.2,4043.0,3.0,0.038,182
Graupner Speed 280 6V #6328,2333.0,0.275,0.882,43
Graupner Speed 280 Race 6V #7300,2610.0,0.5,0.882,43
Graupner Speed 280 Sport 6V #7301,3000.0,0.45,0.882,43
Graupner Speed 300 6V #3306,4833.0,0.7,0.214,52
Graupner Speed 300 7.2,1722.0,0.4,0.214,50
Graupner Speed 400 6V #3321,2672.0,0.89,0.254,74
Graupner Speed 400 L 6V Plus #6084,2672.0,0.89,0.254,74
Graupner Speed 480 7.2V,2450.0,1.5,0.185,105
Graupner Speed 480 7.2V  (est) #6302,2450.0,1.1,0.145,105
Graupner Speed 480 L 7.2V #6330,3213.0,2.0,0.129,105
Graupner Speed 500 eco race #6300,2967.0,1.5,0.081,176
Grayson SuperCruise,2560.0,1.45,0.114,55
Grayson SuperSonic,2180.0,2.3,0.09,54
Grayson SuperSonic v2,2180.0,2.3,0.09,54
Great Planes .46,800.0,4.6,60.0,270
Great Planes Ammo 28-45-2700 (#5215),2700.0,1.5,0.37,131
Great Planes Rimfire,1000.0,0.65,0.235,42
Great Planes Rimfire 14-17-3000 (#4453),3000.0,0.17,1.067,9
Great Planes Rimfire 14-17-3000 (#4453),3000.0,0.17,1.067,9
Great Planes Rimfire 22M-1000,1000.0,0.65,0.235,42
Great Planes Rimfire 28-13-1750 (#4502),1750.0,0.7,0.206,20
Great Planes Rimfire 28-22-1380 (#4505),1380.0,0.7,0.312,29
Great Planes Rimfire 35-30-1250 (#4595),1250.0,1.2,0.1127,71
Great Planes Rimfire 42-50-800 (#4700),800.0,2.6,0.0156,199
Great Planes Rimfire 42-50-800 (#4700),800.0,2.6,0.0156,199
Great Planes Rimfire 42-50-800 (#4700),800.0,2.6,0.0156,199
GS B12-30-17,4100.0,0.2,0.729,18
GS B1230/17,4110.0,0.2,0.7299,18
GS B2030/10,4300.0,0.7,0.127,46
GS B2030/12,3500.0,0.7,0.1669,46
GS C-28-34-08,1120.0,1.554,0.055,55
GS C2830/09,1270.0,0.7,0.1299,60
GS C2830/12,940.0,0.7,0.1299,60
GSmodel B24-45-08,2500.0,1.5,0.0533,97
GWS 2208/18T,1050.0,0.5,0.38,40
GWS 2208/18T,1100.0,0.4,0.063,38
GWS 2212/13T,1030.0,0.4,0.29,50
GWS 2215/12t,930.0,0.5,0.026,58
GWS BL 2215,900.0,0.3,0.1,58
GWS CN12-B2C,5731.0,0.12,3.041,6
GWS CN12-RXC (IPS 7.2V),3418.0,0.243,1.092,19
GWS EM H300,3860.0,0.7,0.37,46
GWS GW/EPS-350C (est-2),5600.0,0.9,0.14,63
Hacher A30 28S,1140.0,1.1,0.068,71
Hacker A10-15S,2320.0,0.63,0.289,16
Hacker A100,196.0,4.7,0.0081,1800
Hacker A100-10  20 pole,180.0,2.2,0.02,1903
Hacker A100-8,196.0,4.7,0.013,1815
Hacker A100-8,196.0,4.7,0.0081,1804
Hacker A100-8  20 pole,196.0,4.7,0.013,1903
Hacker A150,166.0,4.9,0.0095,2100
Hacker A150-10  20 pole,133.0,2.2,0.023,2104
Hacker A150-8  20 pole,166.0,3.6,0.015,2104
Hacker A20 34S,375.0,7.0,1.333,29
Hacker A20-12XL,1039.0,1.2,0.075,83
Hacker A20-50S,1088.0,0.4,0.232,29
Hacker A20-6XL,2500.0,3.4,0.02,57
Hacker A20-6XL,2500.0,3.4,0.02,84
Hacker A200,151.0,5.1,0.0105,2591
Hacker A200-6  20 pole,151.0,5.1,0.011,2594
Hacker A200-8  20 pole,110.0,3.3,0.015,2594
Hacker A30 10L V2  14pole,1185.0,2.3,0.023,145
Hacker A30 10XL,900.0,1.9,0.024,179
Hacker A30 10XL V2  14pole,900.0,1.9,0.024,179
Hacker A30 12L V2  14pole,1000.0,1.8,0.03,145
Hacker A30 12L V2  6pole,2800.0,2.7,0.017,145
Hacker A30 12M V2  14pole,1370.0,2.2,0.022,105
Hacker A30 12XL V2  14pole,700.0,1.5,0.034,179
Hacker A30 14L,900.0,1.7,0.03,111
Hacker A30 14L,800.0,1.6,0.036,145
Hacker A30 14L V2  14pole,800.0,1.6,0.036,145
Hacker A30 16M V2  14pole,1060.0,1.6,0.038,105
Hacker A30 18M V2  6pole,2900.0,1.8,0.031,105
Hacker A30 22S V2  14pole,1440.0,1.4,0.041,71
Hacker A30 28S V2  14pole,1140.0,1.1,0.068,71
Hacker A30 8XL V2  14pole,1100.0,2.8,0.015,179
Hacker A30-10xl,900.0,2.3,0.024,179
Hacker A30-10xl,900.0,2.3,0.024,179
Hacker A30-12XL,770.0,2.4,0.068,179
Hacker A30-14L,800.0,1.6,0.036,145
Hacker A30-28S,1140.0,1.3,0.068,71
Hacker A40 10L,600.0,2.4,0.018,314
Hacker A40 10L V2 14 pole,500.0,1.7,0.018,273
Hacker A40 10L V2 8 pole,1100.0,1.7,0.019,273
Hacker A40 10S,880.0,3.8,0.007,264
Hacker A40 10S V2 14 Pole,750.0,2.8,0.014,210
Hacker A40 10S V2 8 Pole,1600.0,2.6,0.014,210
Hacker A40 12L V2 14 pole,410.0,1.5,0.025,273
Hacker A40 12S,730.0,2.7,0.01,264
Hacker A40 12S V2 14 pole,610.0,2.0,0.017,210
Hacker A40 12S V2 8 pole,1350.0,1.9,0.017,210
Hacker A40 14L V2 14 pole,355.0,1.1,0.032,273
Hacker A40 14S V2 14 pole,530.0,1.4,0.021,210
Hacker A40 6L,1000.0,4.0,0.01,314
Hacker A40 8L,750.0,3.1,0.013,314
Hacker A40 8L V2 14 pole,610.0,1.7,0.012,273
Hacker A40 8S,1100.0,4.9,0.005,264
Hacker A40 8S,1100.0,4.9,0.005,267
Hacker A50 10L Turnado V3,530.0,1.9,0.015,446
Hacker A50 10S,580.0,3.1,0.012,369
Hacker A50 12L,355.0,2.3,0.021,471
Hacker A50 12L V2 14 pole,348.0,2.3,0.021,431
Hacker A50 12S,500.0,2.5,0.016,369
Hacker A50 12S,500.0,2.5,0.016,369
Hacker A50 12S V2 14 pole,492.0,2.5,0.016,346
Hacker A50 14L,310.0,1.9,0.025,471
Hacker A50 14L V2 14 pole,300.0,1.9,0.025,431
Hacker A50 14L V3,300.0,1.0,0.025,446
Hacker A50 14S,550.0,3.9,0.024,372
Hacker A50 14S V2 14 pole,425.0,2.3,0.021,346
Hacker A50 14XS V2 14 pole,564.0,2.3,0.018,290
Hacker A50 16L,270.0,1.7,0.031,471
Hacker A50 16L V2 14 pole,272.0,1.7,0.031,431
Hacker A50 16S,380.0,2.0,0.026,369
Hacker A50 16S V2 14 pole,378.0,2.0,0.026,346
Hacker A50-12L,348.0,2.3,0.021,471
Hacker A50-14L,310.0,1.9,0.025,471
Hacker A50-14S-acro,425.0,3.9,0.024,369
Hacker A50-16S,380.0,2.0,0.026,369
Hacker A60 14L,192.0,2.5,0.02,791
Hacker A60 16L,168.0,1.8,0.018,791
Hacker A60 16M,215.0,1.9,0.022,695
Hacker A60 18L,149.0,1.6,0.016,791
Hacker A60 18M,190.0,1.8,0.027,695
Hacker A60 20M,170.0,1.7,0.032,695
Hacker A60 6XS V2,370.0,1.8,0.015,482
Hacker A60 7S V2,215.0,1.2,0.026,596
Hacker A60 8S V2,188.0,1.1,0.026,596
Hacker A60-14L,192.0,2.5,0.02,791
Hacker A60-16L,168.0,1.8,0.018,905
Hacker A60-16L,168.0,1.8,0.018,791
Hacker A60-18L,149.0,1.6,0.16,791
Hacker A80-10,180.0,2.2,0.028,1450
Hacker A80-10  20 pole,180.0,2.2,0.023,1452
HACKER A80-8,218.0,2.8,0.017,1418
Hacker A80-8,218.0,100.0,0.017,1418
Hacker A80-8,218.0,2.8,0.017,1450
Hacker A80-8  20 pole,218.0,2.8,0.017,1452
Hacker B40 11S,3873.0,1.53,0.0175,120
Hacker B40 11S,3873.0,1.53,0.0175,120
Hacker B40 8L,3750.0,2.0,0.0112,159
Hacker B50 10L Geared 6.7:1,2415.0,2.53,0.0103,315
Hacker B50 11S,3309.0,2.4,0.0109,202
Hacker B50 6L,4025.0,5.83,0.0038,250
Hacker B50 9XL,1753.0,1.37,0.0098,332
Hacker C50-14 XL Competition Limited Ed,1160.0,1.19,0.0242,556
Hacker C50-14 XL Competittion Limited Ed,1160.0,1.19,0.0242,556
Hacker E-Series E3-37,3700.0,0.9,0.023,49
Hacker E-Series E3-49,4900.0,1.4,0.015,49
Hacker Q80-11S  F3A 28 pole,205.0,1.1,0.02,613
Hacker Q80-13S  F3A 20 pole,215.0,1.3,0.029,613
HACKER Q80-8M,180.0,1.6,0.013,1075
Hacker Q80-8M,180.0,1.5,0.018,987
hackerA20 6XL,2500.0,3.4,0.02,100
HackerStyle 20-28M,1050.0,0.45,0.063,44
HET 2W-25,2660.0,2.2,0.015,110
HET EDF 2W,4750.0,1.94,0.013,80
HET EDF 2W20,3450.0,1.72,0.015,97
HET Typhoon 29/18/10,885.0,1.5,0.075,131
HET Typhoon EDF-2W-20,3350.0,1.72,0.015,96
HET Typhoon EDF-2W-20,3450.0,1.72,0.015,96
Hextronik 35-36,1320.0,1.83,0.042,105
Hextronik hxt35-55b,900.0,1.8,0.043,165
HexTronik1400-2000,2000.0,2.0,0.045,6
Hi Model 2822 125W,832.0,0.9,0.0015,39
Himark c2812-34,720.0,1.8,0.03,60
Himax 2815-4033,4317.0,4.2,0.016,134
Himax 3615-1600,1600.0,1.1,0.061,139
Himax C 3516-0840,840.0,1.5,0.051,134
Himax C 3516-1130,1130.0,1.8,0.03,134
Himax C 3516-1350,1350.0,2.3,0.023,134
Himax c3516-1150,1150.0,1.8,0.03,134
Himax CR6320-240 CR,240.0,1.5,0.035,1052
Himax HA 3618 -2300,2300.0,1.2,0.039,179
Himax HA2015-2800,2800.0,0.4,0.3555,49
Himax HA2015-3600,3600.0,0.54,0.295,49
Himax HA2015-3600,3600.0,0.54,0.295,66
Himax HA2015-4100,4100.0,0.8,0.141,66
Himax HA2015-4100,4100.0,0.8,0.141,49
Himax HA2015-5400,5400.0,1.0,0.12,66
Himax HA2015-5400,5400.0,1.0,0.12,49
Himax HA2025-2700,2700.0,0.47,0.169,66
Himax HA2025-3200,3200.0,0.53,0.144,66
Himax HA2025-4200,4200.0,0.75,0.075,66
Himax HA2025-5300,5300.0,1.4,0.044,66
Himax HA2815-1400,1441.0,0.6,0.125,86
Himax HA2815-2000,2153.0,1.2,0.057,86
Himax HA2815-2000,2153.0,1.2,0.057,86
Himax HA2815-3000,3059.0,1.8,0.035,86
Himax HA2815-4000,4317.0,4.2,0.016,86
Himax HA2825-2300,2300.0,0.47,0.078,140
Himax HA2825-2700,2700.0,0.8,0.041,140
Himax HA2825-3600,3600.0,1.4,0.025,140
Himax HA2825-4400,4400.0,1.9,0.017,140
Himax HA2825-5500,5500.0,2.2,0.011,140
Himax HA3618-2300,2300.0,1.2,0.039,179
Himax HA3618-3000,3000.0,1.4,0.026,179
Himax HA3618-4500,4500.0,4.2,0.011,179
Himax HB2815-2000,2153.0,1.2,0.057,86
Himax HB2815-2000 Inrunner (catalog data,2000.0,1.2,0.057,86
Himax HB2815-3000,3059.0,1.8,0.035,86
Himax HB3615-1600,1580.0,1.1,0.061,142
Himax HB3615-2100,2118.0,2.4,0.035,142
Himax HB3615-3200,3190.0,3.7,0.0167,142
Himax HB3630-0780,780.0,0.7,0.085,226
Himax HB3630-1000,1089.0,1.1,0.05,226
Himax HB3630-1500,1606.0,2.4,0.0227,226
Himax HB3630-780,813.0,0.7,0.085,226
Himax HC2208-1260,1260.0,0.5,0.45,25
Himax HC2208-870,870.0,0.25,0.88,25
Himax HC2808-0860,860.0,0.255,0.36,46
Himax HC2808-0980,980.0,0.4,0.22,46
Himax HC2808-1160,1160.0,0.6,0.15,46
Himax HC2808-1160,1160.0,0.6,0.15,48
Himax HC2808-1260,1260.0,0.5,0.45,25
Himax HC2808-860,860.0,0.36,0.255,48
Himax HC2808-980,980.0,0.4,0.22,46
Himax HC2808-980,980.0,0.4,0.22,48
Himax HC2812-0650,650.0,0.36,0.285,61
Himax HC2812-0850,850.0,0.6,0.169,61
Himax HC2812-0850,850.0,0.6,0.169,61
Himax HC2812-1080,1080.0,0.75,0.111,61
Himax HC2812-1080,1080.0,0.75,0.111,60
Himax HC2812-650,650.0,0.36,0.285,61
Himax HC2816-1220,1220.0,1.4,0.058,80
Himax HC2816-890,890.0,0.8,0.119,80
Himax HC3510-1100,1100.0,1.2,0.055,90
Himax HC3510-1540,1540.0,1.8,0.029,90
Himax HC3516-1130,1130.0,1.8,0.03,135
Himax HC3516-1350,1350.0,2.3,0.023,135
Himax HC3522-0700,700.0,1.3,0.049,162
Himax HC3522-0990,990.0,2.2,0.027,162
Himax HC3522/0700,700.0,1.3,0.049,162
Himax HC3528-0800,800.0,1.7,0.031,196
Himax HC3528-1000,1000.0,2.6,0.02,196
Himax HC3616-1130,1130.0,1.8,0.03,135
Himax HC3616-1350,1350.0,2.3,0.023,135
Himax HC3616-840,840.0,1.5,0.051,134
Himax HC5018-530,530.0,1.8,0.033,275
Himax HC5030-390,390.0,1.8,0.031,395
Himax HC6320-250,250.0,1.3,0.041,451
Himax HC6332-230,230.0,1.9,0.025,689
Himaxx 2212-840,850.0,0.3,0.7,32
HiMaxx 2815 - kv1400,1400.0,0.6,0.125,80
Himaxx 3615-1600,1580.0,1.1,0.061,113
HiMaxx HA5018-390,390.0,1.8,0.031,281
HiMaxx HA5018-530,530.0,1.8,0.033,281
HiMaxx HC2208-1260,1260.0,0.5,0.45,25
HiMaxx HC2808-0860,860.0,0.36,0.255,49
HiMaxx HC3516-0840,840.0,1.5,0.051,135
HiMaxx HC3516-1130,1130.0,1.8,0.03,135
HiMaxx HC3516-1130,1130.0,1.8,0.03,134
HiMaxx HC3516-1130,1130.0,1.8,0.03,134
HiMaxx HC3516-1130,1130.0,1.8,0.03,134
HiMaxx HC3516-1350,1350.0,2.3,0.023,135
HiMaxx HC3522-0990,990.0,2.2,0.027,162
HiMaxx HC3528-1000,1000.0,2.6,0.02,198
HiMaxx HC3528-800,800.0,1.7,0.031,198
HIMaxx HC3528-800,800.0,1.7,0.031,199
HiMaxx HC4220-770,770.0,2.4,0.02,199
HiMaxx HC6320-230,230.0,1.5,0.043,691
HiMaxx HC6320-250,250.0,1.3,0.041,451
HiMaxx HC6320-250,250.0,2.0,0.026,450
Himodel 1500 kv cf 2812,1534.0,0.9,0.15,40
HiModel A2212-6,2200.0,0.5,0.09,49
HiModel B2040-7T,3361.0,0.9,0.085,57
HiModel CF2812-1500KV (catalog data),1534.0,0.9,0.15,40
HiModel CF2822-830KV (catalog data),832.0,0.9,0.164,40
Himodel FC2826-12T 1380KV Outrunner,1380.0,0.7,0.065,46
HobbyElectronic SH-F35C2,1290.0,2.0,0.045,105
HobbyKing DAT 1000 (C4015/1000),1000.0,1.5,0.045,91
HTX 6364,230.0,2.16,0.028,641
HURC 3542-10 Outrunner,960.0,1.8,0.053,137
HURC 3548-09 Outrunner,900.0,1.5,0.04,165
Hxt 35-36,1450.0,1.83,0.042,105
HXT 80-100B,130.0,2.0,0.032,1568
HXT Silver 2730-1500,1690.0,0.8,0.43,29
HXT-80-100-B,130.0,2.5,0.032,1560
HXT80-100-b,130.0,2.0,0.032,1560
Hype AL28/760M,760.0,0.5,0.312,57
Hype AL35-1290M,1290.0,2.0,0.045,105
Hype AL35-1290M,1290.0,2.0,0.045,105
Hype AL35/1290M,1290.0,2.0,0.045,105
Hype AL35/1580S,1580.0,2.6,0.028,105
Hype AL35/800M,800.0,1.1,0.087,105
Hype AL50-480M,480.0,1.3,0.072,307
Hype AL50-480M,480.0,1.3,0.072,307
Hyperion G2213-20,1030.0,0.69,0.0748,66
Hyperion G2213-20,1030.0,0.69,0.0748,66
HYPERION GS 2218/12,1137.0,0.81,0.08,60
Hyperion GS2213-14,1337.0,0.75,0.073,69
Hyperion GS2213-16,1175.0,0.63,0.081,69
Hyperion GS2218-10,1337.0,1.09,0.079,86
Hyperion Gs2218-12,1137.0,0.81,0.08,86
Hyperion GS2218-12,1137.0,0.81,0.08,86
Hyperion HP-G2213-16,1470.0,0.89,0.0567,66
Hyperion HP-G2213-20,1030.0,0.69,0.0748,66
Hyperion HP-G2213-20,1030.0,0.69,0.074,66
Hyperion HP-G2220-10,1120.0,1.73,0.0362,88
Hyperion HP-G2220-14,930.0,1.02,0.0645,88
Hyperion HP-G2220-14,930.0,1.02,0.0645,88
Hyperion HP-GS3014-10,1290.0,1.91,0.016,134
Hyperion HP-GS3014-16,657.0,1.02,0.038,134
Hyperion HP-GS3020-06,1440.0,3.1,0.01,176
Hyperion HP-GS3020-08,970.0,2.2,0.014,176
Hyperion HP-GS3020-12,970.0,1.21,0.031,176
Hyperion HP-GS3025-04,1545.0,4.48,0.0065,207
Hyperion HP-GS3025-08,867.0,1.79,0.019,207
Hyperion HP-GS3025-10,705.0,1.38,0.026,207
Hyperion HP-GS3032-04,1252.0,4.58,0.007,298
Hyperion HP-GS3032-06,882.0,3.1,0.012,298
Hyperion HP-GS3032-08,699.0,1.68,0.022,298
Hyperion HP-P1919-04,2165.0,2.3,0.0359,59
Hyperion HP-P1919-04M,3960.0,2.72,0.0359,57
Hyperion HP-P1919-06,1830.0,1.48,0.0607,59
Hyperion HP-P1919-06M,2860.0,1.73,0.0607,57
Hyperion HP-Y12L-4100 (ba),4600.0,0.3,0.67,18
Hyperion HP-Y12L-5300 (ba),5840.0,0.3,0.437,18
Hyperion HP-Y12L-5800 (ba),6610.0,0.5,0.346,18
Hyperion HP-Y22L-2840,3600.0,0.9,0.115,71
Hyperion HP-Y22L-3600,3600.0,1.19,0.094,71
Hyperion HP-Y22L-3900,3900.0,1.38,0.071,71
Hyperion HP-Y22L-4400,4400.0,1.47,0.061,71
Hyperion HP-Z1705-11 (ba),2281.0,0.79,0.255,18
Hyperion HP-Z2213-16,1470.0,0.89,0.0567,54
Hyperion HP-Z3007-30,1050.0,1.5,0.07,76
Hyperion HP-Z3013-14,1085.0,2.5,0.033,86
Hyperion HP-Z3013-16,985.0,2.0,0.04,108
Hyperion HP-Z3019-10,1070.0,2.8,0.019,143
Hyperion HP-Z3019-12,900.0,2.3,0.026,143
Hyperion HP-Z3025 -12,665.0,1.79,0.036,186
Hyperion HP-Z3025-06,1255.0,3.6,0.0102,188
Hyperion HP-Z3025-08,985.0,3.2,0.02,187
Hyperion HP-Z3025-12,665.0,1.79,0.036,188
Hyperion HP-Z4020-08,915.0,3.99,0.00683,284
Hyperion HP-Z4020-10,748.0,3.1,0.0106,284
Hyperion HP-Z4020-12,660.0,2.4,0.0133,284
Hyperion HP-Z4020-12,660.0,2.4,0.0133,284
Hyperion HP-Z4020-14,574.0,1.96,0.0176,284
Hyperion HP-Z4020-14,574.0,1.96,0.0176,284
Hyperion HP-Z4020-14,574.0,1.96,0.0176,284
Hyperion HP-Z4020-16,504.0,1.62,0.0219,284
Hyperion HP-Z4025-10,560.0,2.96,0.0162,358
Hyperion HP-Z4025-12,486.0,2.38,0.0218,358
Hyperion HP-Z4025-16,368.0,1.85,0.0372,358
Hyperion HP-Z4035-10,405.0,2.38,0.0187,448
Hyperion HP-Z4035-12,343.0,1.98,0.0261,448
Hyperion HP-Z4035-14,299.0,1.8,0.0345,448
Hyperion HP-Z4035-14,299.0,1.8,0.0345,446
Hyperion HP-Z4045-10,320.0,2.05,0.0221,553
Hyperion HP-Z4045-12,275.0,1.63,0.0313,553
Hyperion HP-Z4045-14,236.0,1.5,0.0409,553
Hyperion HP-Z5025-20,235.0,1.8,0.027,596
Hyperion HP-Z5025-22,215.0,1.5,0.03,596
Hyperion HP-Z5025-24,200.0,1.3,0.038,596
Hyperion HP-Z5035-18,190.0,1.8,0.027,698
Hyperion HP-Z5035-20,170.0,1.7,0.032,698
Hyperion HP-Z5035-20,170.0,1.7,0.032,698
Hyperion HP-Z5045-16,168.0,1.8,0.018,797
Hyperion HP-Z5045-18,149.0,1.6,0.02,797
Hyperion HP-ZS3025-08,970.0,2.2,0.014,199
Hyperion P1913-06,2080.0,1.25,0.0493,48
Hyperion Y-22 S 2850KV (ALLERC Data),2850.0,0.79,0.184,49
